Total Calls,Year,Las Vegas,Reno,Rural,TOTAL
January,2017,136,33,15,184
February,2017,172,67,32,271
March,2017,158,49,28,235
April,2017,165,54,36,255
May,2017,201,66,29,296
June,2017,84,30,14,128
July ,2017,81,11,9,101
August,2017,157,49,28,234
September,2017,175,52,28,255
October,2017,227,34,21,282
November,2017,138,46,28,212
December,2017,162,44,7,213
January,2018,169,28,17,214
February,2018,193,48,27,268
March,2018,206,57,35,298
April,2018,208,58,29,295
May,2018,199,65,35,299
June,2018,97,33,15,145
July ,2018,122,30,7,159
August,2018,142,53,11,206
September,2018,249,63,26,338
October,2018,215,63,34,312
November,2018,192,47,21,260
December,2018,120,51,18,189
January,2019,165,49,20,234
February,2019,218,46,26,290
March,2019,210,44,33,287
April,2019,235,41,26,302
May,2019,199,58,26,283
June,2019,129,12,8,149
July ,2019,152,24,2,178
August,2019,226,39,12,277
September,2019,299,59,15,373
October,2019,266,59,18,343
November,2019,217,55,21,293
December,2019,234,44,14,292
January,2020,234,47,18,299
February,2020,237,80,23,340
March,2020,212,80,15,307
April,2020,124,30,6,160
May,2020,130,31,5,166
June,2020,114,26,9,149
July ,2020,167,35,19,221
August,2020,245,22,23,290
September,2020,343,51,28,422
October,2020,274,42,23,339
November,2020,282,34,22,338
December,2020,221,29,29,279
